hash,p,nP,nQ,n,max_total_degree,method,n_enum,verdict,count,truncated,n_degenerate,n_nondegenerate,n_sampled,n_verify_fail,tear_nonempty,tear_empty,tear_other,wall_s,note
73eb82dc7fc5,3,6,5,11,159,exhaustive-bilinear,81,NONEMPTY,54,False,6,48,8,0,0,0,8,0.01,
b6ef2dcad17f,2,7,5,12,155,exhaustive-bilinear,16,EMPTY,0,False,,,,,,,,0.0,
b6ef2dcad17f,3,7,5,12,155,exhaustive-bilinear,81,EMPTY,0,False,,,,,,,,0.0,
bd0279288432,2,5,6,11,143,exhaustive-bilinear,16,NONEMPTY,3,False,1,2,2,0,0,0,2,0.01,
bd0279288432,3,5,6,11,143,exhaustive-bilinear,81,EMPTY,0,False,,,,,,,,0.0,
059ba1a7ab65,2,6,7,13,159,exhaustive-bilinear,32,NONEMPTY,18,False,4,14,8,0,0,0,8,0.03,
059ba1a7ab65,3,6,7,13,159,exhaustive-bilinear,243,EMPTY,0,False,,,,,,,,0.01,
92153ee43036,2,6,5,11,155,exhaustive-bilinear,16,NONEMPTY,8,False,0,8,8,0,0,0,8,0.0,
92153ee43036,3,6,5,11,155,exhaustive-bilinear,81,NONEMPTY,2,False,0,2,2,0,0,0,2,0.0,
fb644eab941d,2,7,7,14,155,exhaustive-bilinear,64,NONEMPTY,32,False,4,28,8,0,0,0,8,0.05,
fb644eab941d,3,7,7,14,155,exhaustive-bilinear,729,NONEMPTY,30,False,6,24,8,0,0,0,8,0.07,
