hash,label,deg_P,deg_y,n_terms,species_measured,U_bezout_identity,U_residual_terms,U_deg_A,U_deg_B,SY_verdict,FIB_witness,max_fibre_components,period_instrument,places_at_infinity,genus,period_case,period_value,period_witness,period_verdict,mate_verdict,mate_max_deg_Q,mate_certificate,mate_lambda_support,mate_lambda_reverified
39f56b091e75,"G1 h0=-1 c=2 a=0 n=1 m=3 t=[(0, Fraction(-3, 1)), (1, Fraction(-2, 1)), (2, Fraction(-1, 1))]",7,3,18,S1_v_cubic,True,0,4,5,NON_COORDINATE,NON_COORDINATE_BY_R,2,EXACT-G1,2,0,ii,0,all residues zero and the compact model is P^1,VANISHING,EMPTY_all_stages,14,lambda_exact,56,True
36bc150f8dae,"G1 h0=2 c=3 a=1 n=1 m=3 t=[(0, Fraction(3, 1)), (2, Fraction(3, 1)), (3, Fraction(2, 1))]",10,3,26,S1_v_cubic,True,0,5,7,NON_COORDINATE,NON_COORDINATE_BY_R,2,EXACT-G1,2,0,ii,0,all residues zero and the compact model is P^1,VANISHING,EMPTY_all_stages,20,lambda_exact,161,True
0a32a1935a5d,"G1 h0=2 c=2 a=0 n=2 m=3 t=[(0, Fraction(-2, 1))]",5,3,6,S1_v_cubic|S2_ge3_places,True,0,4,4,NON_COORDINATE,NON_COORDINATE_BY_R,2,EXACT-G1,3,0,ii,0,all residues zero and the compact model is P^1,VANISHING,EMPTY_all_stages,10,lambda_exact,20,True
fa25edeecbfe,"G1 h0=-3 c=1 a=-1 n=2 m=3 t=[(0, Fraction(-2, 1)), (1, Fraction(-3, 1))]",5,3,17,S1_v_cubic|S2_ge3_places,True,0,4,4,NON_COORDINATE,NON_COORDINATE_BY_R,2,EXACT-G1,3,0,ii,0,all residues zero and the compact model is P^1,VANISHING,EMPTY_all_stages,10,lambda_exact,36,True
1ef523b227e7,"G1 h0=2 c=-2 a=2 n=2 m=3 t=[(0, Fraction(-3, 1)), (1, Fraction(2, 1)), (2, Fraction(-2, 1))]",8,3,24,S1_v_cubic|S2_ge3_places|S4_ge3_components,True,0,5,6,NON_COORDINATE,NON_COORDINATE_BY_R,3,EXACT-G1,3,0,ii,0,all residues zero and the compact model is P^1,VANISHING,EMPTY_all_stages,16,lambda_exact,114,True
a4d6d040e138,"G1 h0=2 c=-2 a=0 n=2 m=3 t=[(0, Fraction(2, 1)), (1, Fraction(-3, 1)), (2, Fraction(1, 1)), (3, Fraction(2, 1))]",11,3,25,S1_v_cubic|S2_ge3_places|S4_ge3_components,True,0,6,8,NON_COORDINATE,NON_COORDINATE_BY_R,3,EXACT-G1,3,0,ii,0,all residues zero and the compact model is P^1,VANISHING,EMPTY_all_stages,22,lambda_exact,151,True
6f3b021f8f54,G1 h0=-3 c=3 a=-1 n=3 m=3 t=[],6,3,5,S1_v_cubic|S2_ge3_places,True,0,5,5,NON_COORDINATE,NON_COORDINATE_BY_R,2,EXACT-G1,4,0,i,residues nonzero,nonzero residues at the 3 places over y = 0 (n >= 2 and n | m),NONVANISHING,,,,,
c68d1ee17375,"G1 h0=1 c=2 a=1 n=3 m=3 t=[(0, Fraction(-2, 1)), (1, Fraction(2, 1))]",6,3,22,S1_v_cubic|S2_ge3_places,True,0,5,5,NON_COORDINATE,NON_COORDINATE_BY_R,2,EXACT-G1,4,0,i,residues nonzero,nonzero residues at the 3 places over y = 0 (n >= 2 and n | m),NONVANISHING,,,,,
49baad00b0e3,"G1 h0=1 c=1 a=0 n=3 m=3 t=[(0, Fraction(2, 1)), (1, Fraction(-3, 1)), (2, Fraction(-2, 1))]",9,3,20,S1_v_cubic|S2_ge3_places,True,0,6,7,NON_COORDINATE,NON_COORDINATE_BY_R,2,EXACT-G1,4,0,i,residues nonzero,nonzero residues at the 3 places over y = 0 (n >= 2 and n | m),NONVANISHING,,,,,
e677fe9fcc12,"G1 h0=1 c=1 a=0 n=3 m=3 t=[(1, Fraction(-1, 1)), (2, Fraction(2, 1)), (3, Fraction(1, 1))]",12,3,20,S1_v_cubic|S2_ge3_places,True,0,7,9,NON_COORDINATE,NON_COORDINATE_BY_R,2,EXACT-G1,4,0,i,residues nonzero,nonzero residues at the 3 places over y = 0 (n >= 2 and n | m),NONVANISHING,,,,,
33222fa91c9e,"G1 h0=-3 c=1 a=2 n=4 m=3 t=[(0, Fraction(2, 1))]",7,3,20,S1_v_cubic|S2_ge3_places|S3_positive_genus,True,0,6,6,NON_COORDINATE,NON_COORDINATE_BY_R,2,EXACT-G1,3,1,iii,0,nonzero holomorphic 1-form on a compact curve of genus 1,NONVANISHING,,,,,
9007d0bc823a,"G1 h0=-1 c=3 a=0 n=4 m=3 t=[(0, Fraction(-3, 1)), (1, Fraction(2, 1))]",7,3,13,S1_v_cubic|S2_ge3_places|S3_positive_genus,True,0,6,6,NON_COORDINATE,NON_COORDINATE_BY_R,2,EXACT-G1,3,1,iii,0,nonzero holomorphic 1-form on a compact curve of genus 1,NONVANISHING,,,,,
bdb685b2061d,"G1 h0=-3 c=-1 a=0 n=4 m=3 t=[(0, Fraction(3, 1)), (1, Fraction(3, 1)), (2, Fraction(2, 1))]",10,3,20,S1_v_cubic|S2_ge3_places|S3_positive_genus,True,0,7,8,NON_COORDINATE,NON_COORDINATE_BY_R,2,EXACT-G1,3,1,iii,0,nonzero holomorphic 1-form on a compact curve of genus 1,NONVANISHING,,,,,
bc9d5e8e187d,"G1 h0=2 c=-2 a=-1 n=4 m=3 t=[(0, Fraction(3, 1)), (2, Fraction(1, 1)), (3, Fraction(3, 1))]",13,3,38,S1_v_cubic|S2_ge3_places|S3_positive_genus|S4_ge3_components,True,0,8,10,NON_COORDINATE,NON_COORDINATE_BY_R,3,EXACT-G1,3,1,iii,0,nonzero holomorphic 1-form on a compact curve of genus 1,NONVANISHING,,,,,
1e6ce83390d9,"G1 h0=2 c=-2 a=2 n=5 m=3 t=[(0, Fraction(3, 1))]",8,3,24,S1_v_cubic|S3_positive_genus,True,0,7,7,NON_COORDINATE,NON_COORDINATE_BY_R,2,EXACT-G1,2,2,iii,0,nonzero holomorphic 1-form on a compact curve of genus 2,NONVANISHING,,,,,
